Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-09-04_DayMaxProfit,2026-09-04_DayMaxLoss,2026-09-04_MaxProfit,2026-09-04_MaxLoss,2026-09-04_MaxDrawdown,2026-09-04_CurrentPnL,2026-09-07_DayMaxProfit,2026-09-07_DayMaxLoss,2026-09-07_MaxProfit,2026-09-07_MaxLoss,2026-09-07_MaxDrawdown,2026-09-07_CurrentPnL,2026-09-08_DayMaxProfit,2026-09-08_DayMaxLoss,2026-09-08_MaxProfit,2026-09-08_MaxLoss,2026-09-08_MaxDrawdown,2026-09-08_CurrentPnL
GOODLUCK,Sell,469.4,474.75,501.99,443.79,SL Hit,501.99,2026-09-08,0.28,-2.26,0.28,-2.26,-2.54,-0.75,0.58,-3.32,0.58,-3.32,-3.90,-2.20,0.93,-6.94,0.93,-6.94,-7.87,-6.94
INDOCO,Sell,272.56,273.3599853515625,300.42,228.29,Open,,,4.39,-0.79,4.39,-0.79,-5.18,3.69,8.99,5.62,8.99,-0.79,-5.18,8.02,10.85,5.75,10.85,-0.79,-5.18,10.39
INNOVACAP,Sell,1125.4,1134.0,1202.39,1035.64,Open,,,0.66,-6.62,0.66,-6.62,-7.28,-4.44,-2.63,-6.58,0.66,-6.62,-7.28,-3.47,-3.43,-5.37,0.66,-6.62,-7.28,-4.12
